epoch_ms,session_id,country_by_ip_address,region_by_ip_address,url_without_parameters,referrer_without_parameters,visitor_recognition_type,ua_agent_class
1520280001034,be73c8d1b836170a21529a1b23140f8e,US,CA,https://www.bol.com/nl/l/nederlandstalige-kunstgeschiedenis-theorie-over-knutselen/N/2324+24596+8293/,,ANONYMOUS,Robot
1520280001590,c24c6637ed7dcbe19ad64056184212a7,US,CA,https://www.bol.com/nl/l/italiaans-natuur-wetenschap-kinderboeken-over-vissen-ebook/N/24435+26558+24670+7419/,,ANONYMOUS,Robot
1520280002397,ee391655f5680a7bfae0019450aed396,IT,LI,https://www.bol.com/nl/p/nespresso-magimix-inissia-m105-koffiemachine-grey/9200000025533140/,https://www.bol.com/nl/p/nespresso-magimix-inissia-m105-koffiemachine-grey/9200000025533140/,ANONYMOUS,Browser
1520280002598,f8c8a696dd37ca88233b2df096afa97f,US,CA,https://www.bol.com/nl/l/nieuwe-engelstalige-outdoor-sportboeken-algemene-boeken/N/2806+4292595594+4288403245+4288398652+14033+8292/filter_N/4273962351/,,ANONYMOUS,Robot
1520280004428,f8b0c06747b7dd1d53c0932306bd04d6,US,CA,https://www.bol.com/nl/l/nieuwe-actie-avontuur-over-prive-detective/N/33590+26931+7289/,,ANONYMOUS,Robot Mobile
1520280009777,805604ef78f095d44ea7534371735068,NL,NB,https://www.bol.com/nl/order/basket_bargains.html,,ANONYMOUS,Browser
1520280011959,1483702c6372dfc7a4eef3ab35380f50,NL,UT,https://www.bol.com/nl/p/beddinghouse-multifit-topper-molton-met-split-200x200-220-cm/9200000037994839/,https://www.bol.com/nl/l/beddinghouse-matrasbeschermers/N/14205/filter_N/4285330678/,ANONYMOUS,Browser
1520280013083,c801e67e6700ffb9825c5a99f07b49f6,US,CA,https://www.bol.com/nl/l/koeka-kinderbroeken-jeans-104/N/16949+4287350284+17176/filter_N/17370/,,ANONYMOUS,Robot
1520280013569,19a5c9235723491a6f9a46e401f3ea20,NL,LI,https://www.bol.com/nl/order/basket_bargains.html,,LOGGEDIN,Browser
1520280013619,d3828e7e2638881c9b0f3bed0221f815,NL,ZH,https://www.bol.com/nl/t/elektronica/audio-hifi-portable-dvd-spelers/N/4667/filter_Nf/12194+BTWN+20+350/index.html,,RECOGNIZED,Browser
1520280013766,324638f3c276f272c61ae5924e8dc5e3,US,CA,https://www.bol.com/nl/p/a-new-era-in-old-mexico/9200000023482192/,,ANONYMOUS,Robot Mobile
1520280014898,1639871bba582eaec426e24427ad407d,NL,NB,https://www.bol.com/nl/l/kinderboeken-ebook/N/24421+27989+7419/,https://www.bol.com/nl/m/nederlandse-boeken/kobo-plus-ebooks/index.html,ANONYMOUS,Browser
1520280018837,4cad5ca105ddb7b4da9216b99b95c983,US,CA,https://www.bol.com/nl/c/algemeen/arthur-koch/116630/index.html,,ANONYMOUS,Robot
1520280019029,76f15b859cf1fd40584b7b31de22ba90,US,CA,https://www.bol.com/nl/c/m-j-evans/7790937/,,ANONYMOUS,Robot
1520280019550,54aa0cb188d24bc1a70f8ec325ce257d,US,CA,https://www.bol.com/nl/l/metalen-keukenkraanonderdelen-knop/N/27657+4289222325+4275546781/,,ANONYMOUS,Robot Mobile
1520280020167,f638cee346b26a776d27e909696a9f0e,US,CA,https://www.bol.com/nl/p/der-erziehungsbegriff-bei-kant-und-rosseau/9200000001379215/,,ANONYMOUS,Robot
1520280020974,5b0594aca6e8f8fb89c584d2b354af51,NL,,https://www.bol.com/nl/checkout/login.html,,RECOGNIZED,Browser Webview
1520280023453,94b4dc3d59019f7e4bf7e38274b9709c,NL,ZH,https://www.bol.com/nl/p/coolcat-blouse-overhemd-hdenart-denim-black-170-176/9200000089913565/,https://www.bol.com/nl/p/coolcat-blouse-overhemd-hdenart-denim-black-170-176/9200000089913565/,LOGGEDIN,Browser
1520280023880,216556dc04ecb9895357dc1e88f35e9f,US,CA,https://www.bol.com/nl/c/peta-fowler/590790/,,ANONYMOUS,Robot Mobile
1520280023995,6c3d7350dee7687fe8a550951ae2ad4a,NL,ZH,https://www.bol.com/nl/checkout/login.html,,RECOGNIZED,Browser
1520280024967,a1e09ff272b9bc31169b887fb2e354b4,NL,GE,https://www.bol.com/nl/s/ajax/index.html,,ANONYMOUS,Browser
1520280025393,dd46a898612270b987f9c6c266f2bfc6,US,CA,https://www.bol.com/nl/l/kinderbroeken-jongens/N/25326+4280405485/,,ANONYMOUS,Hacker
1520280026831,2d0e0aea6a8e346c5c54b591b530ac67,NL,,https://www.bol.com/nl/p/microsoft-surface-dock/9200000050626904/,,ANONYMOUS,Browser
1520280028389,2816abd88decbc2759738a8e4b3e0f98,NL,DR,https://www.bol.com/nl/p/cadac-universele-drukregelaar-slang/9200000016493302/,https://www.bol.com/nl/p/bbq-collection-gasbarbecue-3-pits/9200000074019136/,ANONYMOUS,Browser
1520280029009,b2ca48fafd51432447a9aed3fe709ff0,US,CA,https://www.bol.com/nl/w/speelgoed/bouwen-constructie/1229659/N/10462/filter_N/4279520920/index.html,,ANONYMOUS,Robot
1520280030311,727c170b7a85ca917451eb6d423a8ea9,US,CA,https://www.bol.com/nl/l/maatschappij-over-historische-geografie/N/24001+26812/,,ANONYMOUS,Robot Mobile
